trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
43	temp	a	circle	2	1.7000000000000028	1	53	3 	 4.084340632039371 	 1 	 1.0	-999.0	1.0	0	1	-1	-1	-0.0	-999	-999	3.0329 	4.6104 	-999	-999	-999	-999	-999	-999	-999	2.0484 	3.254 	4.3061 	4.9659 	-999	-999	-999	-999	-999	2.6908 	3.4202 	4.8273 	-999	-999	-999	-999	-999	-999	0	0	0
44	temp	a	circle	4	0.7718750000000227	1	58	3 	 5.368896535981265 	 2 	 3.0	3.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.9172 	3.5731 	4.3071 	5.5992 	7.2959 	-999	-999	-999	-999	2.1428 	3.6109 	4.3141 	5.5288 	7.1816 	-999	-999	-999	-999	2.6231 	3.3952 	4.617 	6.2906 	-999	-999	-999	-999	-999	0	0	0
45	temp	a	circle	2	0.1	1	56	3 	 4.550653671740435 	 2 	 1.0	1.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.8081 	3.3154 	4.1622 	5.4056 	-999	-999	-999	-999	-999	2.8433 	4.17 	5.4679 	-999	-999	-999	-999	-999	-999	2.7472 	3.6993 	4.293 	5.4854 	-999	-999	-999	-999	-999	0	0	0
46	temp	a	circle	4	0.7718750000000227	-1	68	0 	 4.03575291593534 	 2 	 3.0	2.0	-999.0	0	-1	1	-1	1.0	-999	-999	2.5146 	4.4124 	-999	-999	-999	-999	-999	-999	-999	1.7455 	3.3884 	4.6192 	-999	-999	-999	-999	-999	-999	2.086 	3.0837 	4.6842 	-999	-999	-999	-999	-999	-999	0	0	0
47	temp	a	circle	4	0.1	-1	70	3 	 4.889332379238291 	 2 	 2.0	2.0	-999.0	1	-1	1	-1	-999	-0.0	-999	2.7715 	4.1205 	4.7612 	5.504 	-999	-999	-999	-999	-999	2.409 	3.1573 	3.8977 	5.0644 	5.8498 	-999	-999	-999	-999	2.0529 	3.1182 	4.4282 	5.9365 	-999	-999	-999	-999	-999	0	0	0
48	temp	a	circle	2	1.7000000000000028	-1	75	0 	 5.004582462428349 	 1 	 -999.0	0.0	1.0	2	-1	1	-1	-999	-999	1.0	2.4716 	3.6818 	4.9525 	6.6628 	-999	-999	-999	-999	-999	2.2401 	3.3514 	4.6131 	5.9449 	-999	-999	-999	-999	-999	2.6368 	3.8925 	5.6913 	-999	-999	-999	-999	-999	-999	0	0	0
49	temp	a	circle	2	0.02	-1	72	3 	 3.2987332495073924 	 1 	 -999.0	0.0	1.0	1	-1	1	-1	-999	-0.0	-999	1.7317 	2.4799 	4.1791 	-999	-999	-999	-999	-999	-999	1.9249 	3.6135 	-999	-999	-999	-999	-999	-999	-999	1.7969 	2.8692 	4.8282 	-999	-999	-999	-999	-999	-999	0	0	0
50	temp	a	circle	4	0.8718750000000028	-1	74	3 	 5.472244746477451 	 1 	 3.0	2.0	-999.0	1	-1	1	-1	-999	-0.0	-999	2.46 	4.1425 	5.6755 	7.4959 	-999	-999	-999	-999	-999	1.8798 	2.4609 	3.9008 	5.4818 	7.0519 	-999	-999	-999	-999	2.0645 	3.5074 	5.0049 	5.949 	-999	-999	-999	-999	-999	0	0	0
51	temp	a	circle	2	0.02	-1	57	3 	 3.37966883050947 	 2 	 0.0	1.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.361 	3.1768 	4.4889 	-999	-999	-999	-999	-999	-999	3.0145 	4.2421 	-999	-999	-999	-999	-999	-999	-999	3.171 	4.3269 	-999	-999	-999	-999	-999	-999	-999	0	0	0
52	temp	a	circle	2	1.7999999999999972	1	64	3 	 3.3781192271174962 	 2 	 0.0	0.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.0247 	3.5291 	5.3408 	-999	-999	-999	-999	-999	-999	2.5848 	3.4506 	4.6643 	-999	-999	-999	-999	-999	-999	3.0825 	4.931 	-999	-999	-999	-999	-999	-999	-999	0	0	0
